Iter,EPE,1px,3px,5px
0,6.996277,0.49979,0.707361,0.776756
1,4.340816,0.710539,0.836956,0.875295
2,3.542058,0.776144,0.87217,0.901189
3,3.145427,0.800332,0.886832,0.912787
4,2.90832,0.811463,0.894939,0.919462
5,2.756078,0.817702,0.899769,0.923579
6,2.672304,0.821296,0.90282,0.926311
7,2.619227,0.823371,0.904867,0.927964
8,2.589015,0.824625,0.906225,0.928985
9,2.572347,0.825482,0.907054,0.929767
10,2.563737,0.826191,0.907559,0.930182
11,2.556073,0.826565,0.90797,0.930606
